City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
342,mantua,45.1667,10.7833,56.98,90,100,1.99,IT,1714867946
343,vorgashor,67.5833,63.95,1.62,99,99,3.91,RU,1714867947
344,dongobesh,-4.0667,35.3833,55.69,93,100,0.27,TZ,1714867948
345,mammoth lakes,37.6485,-118.9721,38.26,90,100,14.97,US,1714867949
346,aqadyr,48.2553,72.8483,53.87,54,100,12.08,KZ,1714867949
347,susuman,62.7833,148.1667,25.99,85,41,1.99,RU,1714867950
348,masterton,-40.9597,175.6575,59.88,53,0,1.77,NZ,1714867951
349,lethem,3.3803,-59.7968,78.78,91,100,6.08,GY,1714867952
350,shalqar,47.8333,59.6,44.29,42,100,12.03,KZ,1714867953
351,narrabri,-30.3167,149.7833,60.53,96,39,3.0,AU,1714867954
352,baqubah,33.7485,44.6554,74.57,36,1,11.77,IQ,1714867954
353,wijhe,52.3867,6.1347,52.07,93,100,1.01,NL,1714867955
354,moranbah,-22.0016,148.0466,73.83,68,81,15.01,AU,1714867956
355,nyala,12.05,24.8833,80.04,13,68,11.34,SD,1714867957
356,borodulikha,50.7184,80.9295,57.49,53,99,8.03,KZ,1714867959
357,zakamensk,50.3741,103.2863,48.38,75,41,1.9,RU,1714867960
358,nouadhibou,20.931,-17.0347,64.11,84,0,20.74,MR,1714867961
359,eden,36.4885,-79.7667,61.95,100,100,4.61,US,1714867962
360,attock city,33.7731,72.3741,68.4,59,3,4.83,PK,1714867963
361,enterprise,36.0252,-115.2419,82.69,19,100,26.46,US,1714867909
362,port saint john's,-31.6229,29.5448,71.56,84,35,14.23,ZA,1714867964
363,puerto lempira,15.2667,-83.7667,82.04,68,10,11.05,HN,1714867965
